"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.36401074986078,0.846,0.216,0,"0","Arg1"
0,3.00825728421426,0.937,0.357,0,"0","Fbp1"
0,2.8364547454011,0.795,0.225,0,"0","Otc"
0,3.08284917170758,0.887,0.331,0,"0","Rida"
0,2.75783066834514,0.846,0.293,0,"0","Gnmt"
0,3.38605502226104,0.925,0.373,0,"0","Ass1"
0,3.19658768498608,0.846,0.302,0,"0","Pck1"
0,2.69381259777538,0.834,0.297,0,"0","Uox"
0,2.20748609089394,0.937,0.413,0,"0","Bhmt"
0,2.41312831246056,0.777,0.266,0,"0","Ttc36"
0,2.27415520353697,0.885,0.382,0,"0","Mat1a"
0,2.52728939122434,0.782,0.282,0,"0","Wfdc21"
0,2.62683507322614,0.837,0.344,0,"0","Serpina1a"
0,2.27863997831883,0.811,0.32,0,"0","Hpd"
0,2.34381919691241,0.817,0.334,0,"0","Tdo2"
0,1.86774327494965,0.926,0.447,0,"0","Hmgcs2"
0,2.59755097354755,0.986,0.522,0,"0","Aldob"
0,4.45288072923394,0.523,0.063,0,"0","Hal"
0,2.39168817255763,0.725,0.267,0,"0","Ndrg2"
0,4.1409096399115,0.579,0.127,0,"0","Hamp"
0,2.6621938728449,0.94,0.488,0,"0","Serpina1c"
0,2.79433656046125,0.925,0.477,0,"0","Apoc3"
0,2.28495437286524,0.896,0.452,0,"0","Serpina1b"
0,1.59481539492489,0.801,0.359,0,"0","Cdo1"
0,4.92701693334345,0.48,0.044,0,"0","Sds"
0,2.89594528561181,0.627,0.193,0,"0","Tat"
0,3.27787611019532,0.536,0.103,0,"0","Uroc1"
0,2.88409227409488,0.74,0.309,0,"0","Apoc2"
0,2.01369152404802,0.748,0.317,0,"0","Apoc4"
0,1.49878978722696,0.813,0.384,0,"0","Aldh1a1"
0,1.81037014755298,0.86,0.441,0,"0","Phyh"
0,1.80938978994073,0.789,0.373,0,"0","Chchd10"
0,2.31157977158093,0.846,0.437,0,"0","Gc"
0,1.08352944310546,0.819,0.413,0,"0","Gsta3"
0,1.32594000476358,0.966,0.563,0,"0","Car3"
0,2.47033135597769,0.574,0.171,0,"0","Urah"
0,2.34314174161011,0.653,0.252,0,"0","Serpina1d"
0,2.5349006515314,0.576,0.177,0,"0","Aldh1l1"
0,1.19669647518144,0.777,0.38,0,"0","Akr1c6"
0,2.10653193314582,0.605,0.213,0,"0","Ephx2"
0,2.10002343270054,0.717,0.325,0,"0","Adk"
0,2.13864335946992,0.745,0.359,0,"0","Sephs2"
0,2.10087205076392,0.755,0.369,0,"0","Ddt"
0,1.71945033872911,0.841,0.459,0,"0","Rbp4"
0,2.44233910378629,0.547,0.166,0,"0","Angptl3"
0,2.3359290973387,0.566,0.186,0,"0","Slc25a47"
0,2.55896485235715,0.567,0.19,0,"0","Orm1"
0,2.96042501591412,0.5,0.124,0,"0","Cth"
0,2.02563545336473,0.76,0.399,0,"0","Acaa2"
0,1.23281961844106,0.729,0.369,0,"0","Acaa1b"
0,2.8072125512278,0.495,0.135,0,"0","Cbs"
0,3.10228741767958,0.471,0.113,0,"0","Cps1"
0,2.44250837111495,0.593,0.235,0,"0","Hpx"
0,2.20545050479309,0.638,0.284,0,"0","Serpina3k"
0,3.06381374412387,0.525,0.171,0,"0","Asl"
0,2.85665777935903,0.588,0.234,0,"0","Gstp1"
0,2.6142773452681,0.493,0.144,0,"0","Tkfc"
0,3.06532618048987,0.434,0.087,0,"0","Agxt"
0,1.49541379996877,0.805,0.459,0,"0","Acox1"
0,1.81073533599782,0.714,0.373,0,"0","Crot"
0,2.68319682988294,0.887,0.548,0,"0","Mup3"
0,2.02108866062803,0.535,0.198,0,"0","Pcbd1"
0,2.0725502572295,0.531,0.197,0,"0","Fah"
0,2.01178745185094,0.546,0.216,0,"0","Pah"
0,4.24562449626812,0.37,0.043,0,"0","Gls2"
0,2.22672785961575,0.57,0.245,0,"0","Igf1"
0,3.11377334287182,0.886,0.563,0,"0","Mup20"
0,2.11199410551633,0.497,0.175,0,"0","Azgp1"
0,2.27290588662857,0.456,0.137,0,"0","Hao1"
0,1.87560816635158,0.924,0.61,0,"0","Cat"
0,4.57285587428047,0.362,0.059,0,"0","Serpina1e"
0,2.50218846811964,0.412,0.11,0,"0","Acat3"
0,3.37664681782076,0.356,0.06,0,"0","Amdhd1"
0,3.41224263507141,0.354,0.06,0,"0","Serpina12"
0,1.90252835700548,0.812,0.525,0,"0","Apoa1"
0,2.11512083738493,0.704,0.418,0,"0","Etfb"
0,1.92143386388398,0.892,0.624,0,"0","Trf"
0,2.19460493143371,0.964,0.696,0,"0","Ttr"
0,1.85982028120064,0.972,0.706,0,"0","Dbi"
0,4.81363228183632,0.286,0.025,0,"0","Etnppl"
0,3.20392975325628,0.313,0.064,0,"0","Nnmt"
0,3.35732769817944,0.287,0.047,0,"0","Gldc"
0,1.22580845975723,0.843,0.606,0,"0","Cyb5a"
0,1.93811821425805,0.874,0.647,0,"0","Uqcrq"
0,1.39126039109955,0.802,0.599,0,"0","Aldh2"
0,2.35476300665349,0.997,0.8,0,"0","Apoc1"
0,1.75491624973044,0.779,0.583,0,"0","Ptms"
0,1.63728037228768,0.962,0.77,0,"0","Gpx1"
0,1.98011339941629,0.998,0.815,0,"0","Scp2"
0,1.72472063445765,0.987,0.813,0,"0","Apoa2"
0,1.8627292769027,0.733,0.569,0,"0","Cox7b"
0,1.59001769274689,1,0.839,0,"0","Fabp1"
0,1.3465994069425,0.915,0.757,0,"0","Prdx1"
0,1.68172076675989,0.942,0.785,0,"0","Gapdh"
0,2.29600195107172,0.991,0.842,0,"0","Alb"
0,1.78720977797183,0.796,0.653,0,"0","Ndufa4"
0,1.61006532205855,0.827,0.701,0,"0","Atp5b"
0,1.47856470246883,0.885,0.809,0,"0","Chchd2"
0,1.40746939887361,0.804,0.743,0,"0","Atp5e"
0,0.795896110438817,0.975,0.928,0,"0","Ftl1"
1.97626258336499e-323,2.04164037368698,0.539,0.212,3.78138082701056e-319,"0","Gstz1"
2.67225345154033e-316,1.83641963039127,0.728,0.57,5.11308975417726e-312,"0","Atp5k"
7.42665226260654e-311,2.48507136237056,0.402,0.12,1.42101564392713e-306,"0","Maob"
1.74568603466756e-306,2.10861161491548,0.476,0.168,3.3401956587329e-302,"0","Hgd"
1.47237183880611e-303,1.86334128914903,0.585,0.274,2.81723627637161e-299,"0","Ahsg"
1.45629534626989e-302,1.81140653014958,0.608,0.292,2.7864755155528e-298,"0","Stard10"
1.99247339048546e-298,0.612541979988695,0.987,0.951,3.81239858535487e-294,"0","Fth1"
5.24073071918738e-297,1.14387252149214,0.78,0.531,1.00276141580931e-292,"0","Mgst1"
2.20825721983764e-289,1.4176904202683,0.78,0.709,4.22527936443734e-285,"0","Cox6c"
4.23957356837068e-289,2.03831437623745,0.663,0.464,8.11200006572047e-285,"0","Atp5g1"
4.47771443077233e-288,2.07922548238237,0.54,0.239,8.56765879183977e-284,"0","Fgg"
1.48463376085205e-283,1.88126460883878,0.596,0.305,2.84069823801431e-279,"0","Hist1h2bc"
9.88432426796162e-282,2.33756747987605,0.416,0.141,1.89126660543178e-277,"0","Fxyd1"
6.13955897726094e-279,2.0117405933003,0.466,0.172,1.17474321470911e-274,"0","Nudt7"
1.00447852848713e-278,2.27620957340646,0.441,0.16,1.92196921640727e-274,"0","Gamt"
1.17134461455113e-277,1.47953166820992,0.616,0.285,2.24125078548214e-273,"0","Adh1"
2.74815495219735e-275,2.41310354535465,0.417,0.145,5.25831968553441e-271,"0","Gchfr"
1.44933246961439e-272,2.19781933974767,0.501,0.215,2.77315274736018e-268,"0","Fgb"
1.33567333584887e-271,2.42141568757717,0.386,0.123,2.55567736081323e-267,"0","Aox3"
6.63106365382984e-269,2.26444819605644,0.456,0.178,1.2687877195238e-264,"0","Aldh7a1"
1.67378539440127e-268,1.81206120704159,0.627,0.362,3.2026209736474e-264,"0","Acat1"
1.55207294812974e-261,1.90388207996858,0.481,0.191,2.96973637895144e-257,"0","Gcdh"
1.98238740556012e-261,1.84893294408842,0.586,0.303,3.79310006179874e-257,"0","Errfi1"
2.94302227668705e-261,2.31943341741723,0.37,0.115,5.63117882421301e-257,"0","Pecr"
9.0826709304357e-252,1.8021630944554,0.649,0.44,1.73787825582957e-247,"0","Mdh1"
6.51085640963886e-251,2.32555720544288,0.392,0.136,1.2457872654203e-246,"0","C8g"
2.61957725083376e-250,1.66718648909546,0.699,0.572,5.01229911174532e-246,"0","Atp5md"
1.70386537793702e-249,0.572591361530243,0.977,0.946,3.2601760141447e-245,"0","Apoe"
1.7621620433653e-246,2.40291101320129,0.325,0.093,3.37172085377517e-242,"0","Akr1d1"
2.16605663483003e-246,2.6577522162504,0.27,0.065,4.14453276508378e-242,"0","C9"
8.01466536407612e-245,2.30822368215259,0.364,0.118,1.53352607076232e-240,"0","Dpyd"
8.7143382815649e-245,1.48347077898234,0.512,0.206,1.66740148679463e-240,"0","Fabp2"
1.00717476172224e-240,1.85948312298816,0.582,0.324,1.92712818907933e-236,"0","Hp"
3.25857435107849e-238,1.57948381331693,0.556,0.264,6.23495616335358e-234,"0","Fmo5"
