"genotype","cell_type","n","n_total","proportion"
"TG","B_cell",673,7747,0.0868723376791016
"TG","Cholangiocyte",195,7747,0.0251710339486253
"TG","Dendritic_cell",635,7747,0.0819672131147541
"TG","Endothelial",1455,7747,0.187814637924358
"TG","Hepatocyte",1879,7747,0.242545501484446
"TG","Macrophage_Kupffer",1325,7747,0.171033948625274
"TG","Mast_cell",21,7747,0.00271072673292888
"TG","Neutrophil",17,7747,0.00219439783141861
"TG","NK_cell",157,7747,0.0202659093842778
"TG","S100A8hi_macrophage",275,7747,0.0354976119788305
"TG","Stellate_Fibroblast",63,7747,0.00813218019878663
"TG","T_cell",1052,7747,0.135794501097199
"WT","B_cell",925,10420,0.0887715930902111
"WT","Cholangiocyte",215,10420,0.0206333973128599
"WT","Dendritic_cell",766,10420,0.0735124760076775
"WT","Endothelial",2046,10420,0.196353166986564
"WT","Hepatocyte",3553,10420,0.340978886756238
"WT","Macrophage_Kupffer",1303,10420,0.125047984644914
"WT","Mast_cell",25,10420,0.00239923224568138
"WT","Neutrophil",74,10420,0.00710172744721689
"WT","NK_cell",228,10420,0.0218809980806142
"WT","S100A8hi_macrophage",253,10420,0.0242802303262956
"WT","Stellate_Fibroblast",106,10420,0.0101727447216891
"WT","T_cell",926,10420,0.0888675623800384
