"sample","axis","genotype","diet","group"
"HFD3m_WT1","adipocyte_death","WT","HFD","adipocyte_death_WT_HFD"
"HFD3m_WT2","adipocyte_death","WT","HFD","adipocyte_death_WT_HFD"
"HFD3m_WT3","adipocyte_death","WT","HFD","adipocyte_death_WT_HFD"
"HFD3m_WT4","adipocyte_death","WT","HFD","adipocyte_death_WT_HFD"
"HFD3m_WT5","adipocyte_death","WT","HFD","adipocyte_death_WT_HFD"
"HFD3m_TG1","adipocyte_death","Bcl2TG","HFD","adipocyte_death_Bcl2TG_HFD"
"HFD3m_TG2","adipocyte_death","Bcl2TG","HFD","adipocyte_death_Bcl2TG_HFD"
"HFD3m_TG3","adipocyte_death","Bcl2TG","HFD","adipocyte_death_Bcl2TG_HFD"
"HFD3m_TG5","adipocyte_death","Bcl2TG","HFD","adipocyte_death_Bcl2TG_HFD"
"HFD3m_TG6","adipocyte_death","Bcl2TG","HFD","adipocyte_death_Bcl2TG_HFD"
"Chow3m_WT1","adipocyte_death","WT","Chow","adipocyte_death_WT_Chow"
"Chow3m_WT2","adipocyte_death","WT","Chow","adipocyte_death_WT_Chow"
"Chow3m_WT3","adipocyte_death","WT","Chow","adipocyte_death_WT_Chow"
"Chow3m_TG1","adipocyte_death","Bcl2TG","Chow","adipocyte_death_Bcl2TG_Chow"
"Chow3m_TG2","adipocyte_death","Bcl2TG","Chow","adipocyte_death_Bcl2TG_Chow"
"Chow3m_TG3","adipocyte_death","Bcl2TG","Chow","adipocyte_death_Bcl2TG_Chow"
"WT_Chow_1","macrophage_KO","WT","Chow","macrophage_KO_WT_Chow"
"WT_Chow_2","macrophage_KO","WT","Chow","macrophage_KO_WT_Chow"
"WT_Chow_4","macrophage_KO","WT","Chow","macrophage_KO_WT_Chow"
"WT_Chow_5","macrophage_KO","WT","Chow","macrophage_KO_WT_Chow"
"MKO_Chow_1","macrophage_KO","MKO","Chow","macrophage_KO_MKO_Chow"
"MKO_Chow_2","macrophage_KO","MKO","Chow","macrophage_KO_MKO_Chow"
"MKO_Chow_3","macrophage_KO","MKO","Chow","macrophage_KO_MKO_Chow"
"MKO_Chow_4","macrophage_KO","MKO","Chow","macrophage_KO_MKO_Chow"
"MKO_Chow_5","macrophage_KO","MKO","Chow","macrophage_KO_MKO_Chow"
"WT_HFD_1","macrophage_KO","WT","HFD","macrophage_KO_WT_HFD"
"WT_HFD_2","macrophage_KO","WT","HFD","macrophage_KO_WT_HFD"
"WT_HFD_3","macrophage_KO","WT","HFD","macrophage_KO_WT_HFD"
"WT_HFD_4","macrophage_KO","WT","HFD","macrophage_KO_WT_HFD"
"WT_HFD_5","macrophage_KO","WT","HFD","macrophage_KO_WT_HFD"
"MKO_HFD_1","macrophage_KO","MKO","HFD","macrophage_KO_MKO_HFD"
"MKO_HFD_3","macrophage_KO","MKO","HFD","macrophage_KO_MKO_HFD"
"MKO_HFD_4","macrophage_KO","MKO","HFD","macrophage_KO_MKO_HFD"
"MKO_HFD_5","macrophage_KO","MKO","HFD","macrophage_KO_MKO_HFD"
