"cluster","gene","avg_log2FC","p_val_adj"
"B_cell","Pax5",8.12137468855571,0
"B_cell","Ms4a1",7.8682194072478,0
"B_cell","Ebf1",7.73804166910289,0
"B_cell","Fcmr",7.70499487807258,0
"B_cell","Cd79a",7.69884780231493,0
"B_cell","Fcer2a",7.58007075672076,0
"B_cell","Ighd",7.5797670415017,0
"B_cell","Pou2af1",7.53465041474986,0
"B_cell","Cd19",7.45149713618848,0
"B_cell","Chst3",7.37510898619411,0
"B_cell","Vpreb3",7.1786014850812,0
"B_cell","Cr2",7.07701086123827,0
"B_cell","Iglc2",6.99994489983366,0
"B_cell","Gm31243",6.72025966978039,0
"B_cell","Cd79b",6.68709306951315,0
"B_cell","Igkc",6.53431392305998,0
"B_cell","Blk",6.19080824470763,0
"B_cell","Tnfrsf13c",6.06519169762232,0
"B_cell","H2-Ob",5.7736412178809,0
"B_cell","Bank1",5.72831686138183,0
"B_cell","Cd22",5.68857130528051,0
"B_cell","H2-DMb2",5.56234771645599,0
"B_cell","B3gnt5",5.47333631082591,0
"B_cell","Fcrl1",5.39820332936384,0
"B_cell","Mzb1",5.33928611333288,0
"B_cell","Ighm",5.33634582093814,0
"B_cell","H2-Eb2",5.28348009579882,0
"B_cell","Iglc1",5.21296998381515,0
"B_cell","Siglecg",5.15636453381186,0
"B_cell","Irf4",5.1067632051867,0
"B_cell","Fcrla",4.90498209747838,0
"B_cell","Btla",4.88019697931311,0
"B_cell","Gm8369",4.79526451048431,0
"B_cell","Trim7",4.7473507865559,0
"B_cell","Iglc3",4.74046210852692,0
"B_cell","Pgap1",4.6368939468163,0
"B_cell","Snn",4.53537933611956,0
"B_cell","Ccr7",4.41538175908814,0
"B_cell","Egr3",4.35862239084356,0
"B_cell","Irs2",4.21156016028071,0
"B_cell","Aff3",4.17312529837815,0
"B_cell","BE692007",4.11284702965406,0
"B_cell","Bach2",4.03440906629707,0
"B_cell","H2-Oa",3.93792061408911,0
"B_cell","Stap1",3.87864470933679,0
"B_cell","Ly6d",3.78543486654365,0
"B_cell","Serpinb1a",3.7806376098252,0
"B_cell","Spib",3.65789638438673,0
"B_cell","Hvcn1",3.64641465165632,0
"B_cell","Zfp318",3.53469371429787,0
"B_cell","Mef2c",3.5025321639078,0
"B_cell","Cd180",3.49229196515311,0
"B_cell","Ralgps2",3.48959394354193,0
"B_cell","Bcl11a",3.45935561170856,0
"B_cell","Cd37",3.43619919486239,0
"B_cell","Satb1",3.41520501624532,0
"B_cell","Blnk",3.38570506017503,0
"B_cell","Gpr183",3.37103469875905,0
"B_cell","Gga2",3.32780126290872,0
"B_cell","Ikzf3",3.23242347477251,0
"B_cell","Zbtb10",3.18921391474642,0
"B_cell","Ripor2",3.10878747912703,0
"B_cell","Mast4",3.10488262437153,0
"B_cell","Fchsd2",3.06028016484961,0
"B_cell","Ciita",3.00056296757706,0
"B_cell","Cd83",2.94168105082973,0
"B_cell","4930523C07Rik",2.93423606179984,0
"B_cell","Pou2f2",2.91164375240898,0
"B_cell","Foxp1",2.91080640237145,0
"B_cell","Swap70",2.82059377165046,0
"B_cell","Syk",2.81299350823682,0
"B_cell","Stk17b",2.8038206587889,0
"B_cell","March1",2.79151700432965,0
"B_cell","Dmxl1",2.68705068503249,0
"B_cell","P2ry10",2.61772045587598,0
"B_cell","Dgkd",2.60585613549546,0
"B_cell","Cd69",2.57990271360319,0
"B_cell","Sell",2.52040246245996,0
"B_cell","Rel",2.44736169125793,0
"B_cell","Rhoh",2.4261150080784,0
"B_cell","Prkcb",2.40780708291638,0
"B_cell","Cxcr4",2.33266412471332,0
"B_cell","Cd74",2.26520777309417,0
"B_cell","Malt1",2.23428574255873,0
"B_cell","Tsc22d3",2.2096683250893,0
"B_cell","Apobec3",2.20617752415333,0
"B_cell","Ablim1",2.16330736439342,0
"B_cell","Klf2",2.13346734842883,0
"B_cell","Cd24a",2.11565641379518,0
"B_cell","Ltb",2.07494557928461,0
"B_cell","Dusp2",2.0324831840029,0
"B_cell","H2-Aa",2.01694287998472,0
"B_cell","Man1a",1.97521381863061,0
"B_cell","Ptprcap",1.9136761992233,0
"B_cell","Dennd4a",1.8710602616992,0
"B_cell","Akap13",1.75919690585965,0
"B_cell","Serp1",1.73500718470713,0
"B_cell","Shisa5",1.6656683543967,0
"B_cell","H2-Eb1",1.62624333152965,0
"B_cell","Jund",1.61961727046481,0
"B_cell","Zfp36l1",1.61796983960333,0
"B_cell","Rps27",1.60117528303297,0
"B_cell","Gimap6",1.58035893255901,0
"B_cell","Cd55",1.55213101345488,0
"B_cell","Btg1",1.53256574772362,0
"B_cell","Rps19",1.53026955230572,0
"B_cell","H2-Ab1",1.52333295748358,0
"B_cell","H3f3b",1.49262982204887,0
"B_cell","Rps20",1.45344707734443,0
"B_cell","Rpl18a",1.4057868226638,0
"B_cell","Rpl12",1.39465295039147,0
"B_cell","Rps24",1.37168503996619,0
"B_cell","Ets1",1.3270157774727,0
"B_cell","H3f3a",1.32414593869288,0
"B_cell","Rps21",1.26894910738797,0
"B_cell","Fau",1.26278262539997,0
"B_cell","Ddx5",1.23582229474267,0
"B_cell","Rps10",1.22404462639536,0
"B_cell","Rps13",1.21449322543889,0
"B_cell","Rpl39",1.20746526540035,0
"B_cell","Rps15a",1.19338909163265,0
"B_cell","Rps7",1.18252768070308,0
"B_cell","Malat1",1.16661754320134,0
"B_cell","Rpl30",1.15823838665174,0
"B_cell","Rpl27a",1.10261059787135,0
"B_cell","Rpl13",1.09028994410996,0
"B_cell","Rpl21",1.07912848788497,0
"B_cell","Rpl34",1.06802893143084,0
"B_cell","Rps15",1.01411932166503,0
"B_cell","Rpl37a",0.994867925705801,0
"B_cell","Rpl23",0.989938670587277,0
"B_cell","Rps16",0.988367530858509,0
"B_cell","Rps29",0.971285024119958,0
"B_cell","Rplp2",0.96076506991153,0
"B_cell","Rpl38",0.956923352220385,0
"B_cell","Arhgef18",2.69205182480116,1.89069041350528e-319
"B_cell","Rps28",0.987192569714821,7.56276165402113e-319
"B_cell","Rps18",1.05816552588797,5.09314183590053e-315
"B_cell","Rps26",1.04258506393552,6.64218449168541e-315
"B_cell","Arhgap15",2.21167540538352,2.44037083742367e-314
"B_cell","Ly6e",1.15161860961843,5.69302009029749e-314
"B_cell","Rps5",1.05581552264818,2.0351977724999e-313
"B_cell","Txndc16",3.05362887964156,2.16699184744125e-310
"B_cell","Rpl35a",0.923804504381406,1.44877029393424e-309
"B_cell","Rpl36",1.02676907300272,1.25121392763042e-307
"B_cell","Rpl13a",0.951864312797668,5.27041325088764e-307
"B_cell","Lrrk2",3.01401737097072,9.11166936269645e-303
"B_cell","Cmah",1.79199025753348,2.50846250266312e-302
"B_cell","Rpsa",1.00026573972752,1.03335967964605e-298
"B_cell","Clk1",1.36696686408209,2.50892905012771e-297
"B_cell","Birc3",2.10869149109594,6.3647604733928e-296
"B_cell","Rpl8",1.01390216812095,2.94940830055272e-295
"B_cell","Rpl18",1.10982603051669,5.70624449529866e-294
"B_cell","H2-DMa",1.67126656354455,1.37352207330702e-293
"B_cell","Snx29",3.32258898785778,1.77868220149889e-289
"B_cell","Rps12",0.880026459428307,7.6302307647154e-287
"B_cell","Cd2",2.23349346458528,6.90415802994195e-285
"B_cell","Rabgap1l",2.05600159629414,2.58992151272902e-282
"B_cell","Rpl19",0.890508851402477,5.44658949838326e-282
"B_cell","Rps25",0.9493015992857,2.91069376003076e-281
"B_cell","Rpl32",0.962283983885897,3.2306274215591e-281
"B_cell","Rps9",0.899805472424962,2.69554071147252e-279
"B_cell","Ptp4a3",2.51456866574616,1.17110477136405e-278
"B_cell","Rpl17",0.918205693493968,9.36398656192507e-276
"B_cell","Rpl37",0.87959822499074,1.34783848661323e-273
"B_cell","Smim14",1.89427986333864,1.48398678409364e-272
"B_cell","Tut4",1.89203662824407,1.46723211499075e-271
"B_cell","Fam107b",1.81840530764831,1.05031719746539e-267
"B_cell","Rpl35",1.02233402415801,5.43391886933877e-265
"B_cell","Ezr",2.11492076741693,1.8765444152876e-264
"B_cell","Cytip",1.60052326000988,6.83006569995815e-262
"B_cell","Rplp1",0.754022118601958,1.87295652167048e-259
"B_cell","Rps4x",0.924636768740676,1.2448665607677e-258
"B_cell","Rpl27",0.955232647381037,1.98621732500671e-254
"B_cell","Rps14",0.810355927048305,1.27691053741487e-253
"B_cell","Rps3a1",0.837255600897624,4.63751486351789e-253
"B_cell","Rps8",0.776236213288213,1.06436546893583e-252
"B_cell","Pxk",2.13926594387742,1.6803098394911e-248
"B_cell","Myc",3.48201251262741,2.12252594568181e-248
"B_cell","Napsa",1.92396003126655,3.66956596919589e-245
"B_cell","Ero1lb",2.91704374180667,1.03892493784996e-244
"B_cell","Rpl9",0.874921560897643,3.87504361290416e-244
"B_cell","Add3",1.70275156657898,6.90513634267917e-244
"B_cell","Slc38a1",2.02292578888302,8.58225007875442e-244
"B_cell","Crlf3",2.01657001175702,3.10438486936347e-242
"B_cell","Luc7l2",1.2527200789302,5.81078175456584e-242
"B_cell","Ier5",1.57955111434346,9.02608689109888e-235
"B_cell","Rps3",0.871668521635809,3.24579765990755e-231
"B_cell","Rpl10a",0.985691469390101,3.50651589768039e-223
