"cell_type","diet","mean_WT","mean_MKO","diff_MKO_minus_WT","p_value","p_adj_BH"
"Dendritic_cell","Chow",-0.505990133782432,-1.36998082494406,-0.863990691161629,0.187794578686059,0.943317034323471
"Mast_cell","Chow",-1.58972445359067,-0.41748255753437,1.1722418960563,0.215961380717138,0.943317034323471
"T_cell","Chow",-0.987642005672213,-0.29864624118954,0.688995764482674,0.401366611045278,0.943317034323471
"Hepatocyte","Chow",-1.2213951932451,-0.612193720444636,0.60920147280046,0.404779568565883,0.943317034323471
"S100A8hi_macrophage","Chow",-2.28291464142953,-2.04675614265788,0.236158498771657,0.685709605888998,0.943317034323471
"B_cell","Chow",-1.18971455327655,-1.58821151037878,-0.398496957102229,0.707933985773872,0.943317034323471
"Macrophage_Kupffer","Chow",-1.89474006159533,-2.16955316659889,-0.274813105003559,0.721047627875906,0.943317034323471
"NK_cell","Chow",-1.73554482580292,-1.8288911754,-0.0933463495970861,0.86858275794786,0.943317034323471
"Cholangiocyte","Chow",-2.07069692210126,-2.1959358231146,-0.125238901013332,0.885133240352634,0.943317034323471
"Stellate_Fibroblast","Chow",-3.75713560486213,-3.69837041303492,0.0587651918272081,0.939378769507591,0.943317034323471
"Neutrophil","Chow",-2.21623967934621,-2.17718868123391,0.0390509981123066,0.939924062591685,0.943317034323471
"Endothelial","Chow",-2.44034773831888,-2.40645049568738,0.0338972426314976,0.943317034323471,0.943317034323471
"Neutrophil","HFD",-1.35428580237973,-2.45955885262487,-1.10527305024514,0.00707565039070682,0.0562249144405299
"Mast_cell","HFD",1.05499634952369,2.29395935701015,1.23896300748645,0.00937081907342165,0.0562249144405299
"Stellate_Fibroblast","HFD",1.33921798111329,2.53161886245555,1.19240088134225,0.0239546260355193,0.0958185041420771
"B_cell","HFD",1.7763244045974,0.3895389025583,-1.3867855020391,0.173471447123425,0.454978773614093
"S100A8hi_macrophage","HFD",-0.756671160249196,-1.18988573875731,-0.433214578508114,0.242412084015627,0.454978773614093
"Endothelial","HFD",0.311289584754665,-0.230781815713695,-0.54207140046836,0.255529179198546,0.454978773614093
"Dendritic_cell","HFD",1.57851840345015,2.10263456493763,0.524116161487479,0.265404284608221,0.454978773614093
"Macrophage_Kupffer","HFD",2.0667179723087,2.53336329368527,0.46664532137657,0.457101137847031,0.685651706770547
"Cholangiocyte","HFD",1.34870252515167,1.85791373944546,0.509211214293785,0.523145402932504,0.697527203910006
"T_cell","HFD",0.575983426363618,0.147454028578989,-0.428529397784629,0.634560482975991,0.761472579571189
"NK_cell","HFD",0.619378869306378,0.754391335600799,0.13501246629442,0.746316322155144,0.814163260532884
"Hepatocyte","HFD",-1.77004125968748,-1.73482675610861,0.0352145035788749,0.949749603400085,0.949749603400085
