"cell_type","diet","n_x","n_y","mean_x","mean_y","mean_diff","ci95_lo","ci95_hi","cohens_d","welch_t_p","wilcoxon_p","welch_p_BH","wilcoxon_p_BH"
"Dendritic_cell","Chow",5,4,-1.36998082494406,-0.505990133782432,-0.863990691161629,-2.2815715208157,0.553590138492441,-1.00662323807907,0.187794578686059,0.27034414065478,0.943317034323471,0.98457081837565
"Mast_cell","Chow",5,4,-0.41748255753437,-1.58972445359067,1.1722418960563,-1.05327783671061,3.39776162882322,1.07824125506713,0.215961380717138,0.27034414065478,0.943317034323471,0.98457081837565
"B_cell","Chow",5,4,-1.58821151037878,-1.18971455327655,-0.398496957102229,-2.91003850177551,2.11304458757105,-0.242396721328674,0.707933985773872,0.54029137460742,0.943317034323471,0.98457081837565
"Neutrophil","Chow",5,4,-2.17718868123391,-2.21623967934621,0.0390509981123066,-1.1886018557879,1.26670385201251,0.0485146147841776,0.939924062591685,0.54029137460742,0.943317034323471,0.98457081837565
"T_cell","Chow",5,4,-0.29864624118954,-0.987642005672213,0.688995764482674,-1.17602800533665,2.554019534302,0.61658321936351,0.401366611045278,0.54029137460742,0.943317034323471,0.98457081837565
"Endothelial","Chow",5,4,-2.40645049568738,-2.44034773831888,0.0338972426314976,-1.08977653873443,1.15757102399742,0.0509570772835275,0.943317034323471,0.713303173878458,0.943317034323471,0.98457081837565
"Macrophage_Kupffer","Chow",5,4,-2.16955316659889,-1.89474006159533,-0.274813105003559,-2.03413472386795,1.48450851386083,-0.248048071440108,0.721047627875906,0.713303173878458,0.943317034323471,0.98457081837565
"S100A8hi_macrophage","Chow",5,4,-2.04675614265788,-2.28291464142953,0.236158498771657,-1.16758226514051,1.63989926268382,0.300560710333576,0.685709605888998,0.713303173878458,0.943317034323471,0.98457081837565
"Hepatocyte","Chow",5,4,-0.612193720444636,-1.2213951932451,0.60920147280046,-1.28185587595673,2.50025882155765,0.703980301514935,0.404779568565883,0.902523250177679,0.943317034323471,0.98457081837565
"NK_cell","Chow",5,4,-1.8288911754,-1.73554482580292,-0.0933463495970861,-1.38462303030862,1.19793033111445,-0.1096255232248,0.86858275794786,0.902523250177679,0.943317034323471,0.98457081837565
"Stellate_Fibroblast","Chow",5,4,-3.69837041303492,-3.75713560486213,0.0587651918272081,-1.71637391832874,1.83390430198316,0.052597882421337,0.939378769507591,0.902523250177679,0.943317034323471,0.98457081837565
"Cholangiocyte","Chow",5,4,-2.1959358231146,-2.07069692210126,-0.125238901013332,-2.1812611786065,1.93078337657983,-0.104368904144438,0.885133240352634,1,0.943317034323471,1
"Mast_cell","HFD",4,5,2.29395935701015,1.05499634952369,1.23896300748645,0.415609488453007,2.0623165265199,2.36266317538679,0.00937081907342165,0.0373364159206629,0.0562249144405299,0.224018495523977
"Neutrophil","HFD",4,5,-2.45955885262487,-1.35428580237973,-1.10527305024514,-1.79850391146949,-0.412042189020791,-2.42205081670935,0.00707565039070682,0.0373364159206629,0.0562249144405299,0.224018495523977
"Stellate_Fibroblast","HFD",4,5,2.53161886245555,1.33921798111329,1.19240088134225,0.215271562161893,2.16953020052262,1.97617555767631,0.0239546260355193,0.0661925797221935,0.0958185041420771,0.264770318888774
"Endothelial","HFD",4,5,-0.230781815713695,0.311289584754665,-0.54207140046836,-1.57723047244154,0.493087671504821,-0.803882174748639,0.255529179198546,0.177909594986983,0.454978773614093,0.426837031944697
"Macrophage_Kupffer","HFD",4,5,2.53336329368527,2.0667179723087,0.46664532137657,-1.03239200562645,1.96568264837959,0.487532060943933,0.457101137847031,0.27034414065478,0.685651706770547,0.426837031944697
"B_cell","HFD",4,5,0.3895389025583,1.7763244045974,-1.3867855020391,-3.56519464420443,0.791623640126224,-0.962455284442514,0.173471447123425,0.391267279282639,0.454978773614093,0.426837031944697
"Cholangiocyte","HFD",4,5,1.85791373944546,1.34870252515167,0.509211214293785,-1.41748823375567,2.43591066234324,0.414978909672962,0.523145402932504,0.391267279282639,0.697527203910006,0.426837031944697
"Dendritic_cell","HFD",4,5,2.10263456493763,1.57851840345015,0.524116161487479,-0.528062918714066,1.57629524168902,0.760262579597655,0.265404284608221,0.391267279282639,0.454978773614093,0.426837031944697
"Hepatocyte","HFD",4,5,-1.73482675610861,-1.77004125968748,0.0352145035788749,-1.46941208933278,1.53984109649053,0.049901137233732,0.949749603400085,0.391267279282639,0.949749603400085,0.426837031944697
"S100A8hi_macrophage","HFD",4,5,-1.18988573875731,-0.756671160249196,-0.433214578508114,-1.25937376385535,0.392944606839126,-0.90643949779646,0.242412084015627,0.391267279282639,0.454978773614093,0.426837031944697
"T_cell","HFD",4,5,0.147454028578989,0.575983426363618,-0.428529397784629,-2.48761159189986,1.63055279633061,-0.333579046125362,0.634560482975991,0.391267279282639,0.761472579571189,0.426837031944697
"NK_cell","HFD",4,5,0.754391335600799,0.619378869306378,0.13501246629442,-0.832221955635314,1.10224688822415,0.22937477573591,0.746316322155144,0.54029137460742,0.814163260532884,0.54029137460742
