"tf_gene","target","subset","tf_family","r","p_value","n","p_BH"
"Cebpb","S100A8hi_macrophage","HFD19","C/EBP",-0.785964912280702,9.60713314174716e-05,19,0.000864641982757244
"Jund","S100A8hi_macrophage","HFD19","AP-1",-0.68421052631579,0.00166561936622603,19,0.00749528714801715
"Cebpa","S100A8hi_macrophage","HFD19","C/EBP",-0.580701754385965,0.0104054754463152,19,0.0310508339625465
"Junb","S100A8hi_macrophage","HFD19","AP-1",-0.56140350877193,0.0138003706500207,19,0.0310508339625465
"Fos","S100A8hi_macrophage","HFD19","AP-1",-0.514035087719298,0.0260222456909279,19,0.0468400422436702
"Jun","S100A8hi_macrophage","HFD19","AP-1",-0.491228070175439,0.0343915429073966,19,0.0515873143610949
"Cebpd","S100A8hi_macrophage","HFD19","C/EBP",-0.450877192982456,0.0542717295394618,19,0.069777937979308
"Atf3","S100A8hi_macrophage","HFD19","AP-1",-0.428070175438596,0.0688972178593646,19,0.0775093700917852
"Fosb","S100A8hi_macrophage","HFD19","AP-1",-0.0157894736842105,0.951154837430029,19,0.951154837430029
"Jund","S100a9_expr","HFD19","AP-1",0.443859649122807,0.0584887755122227,19,0.526398979610004
"Cebpd","S100a9_expr","HFD19","C/EBP",0.342105263157895,0.1518416589718,19,0.542265412308368
"Atf3","S100a9_expr","HFD19","AP-1",0.275438596491228,0.252727717418985,19,0.542265412308368
"Cebpb","S100a9_expr","HFD19","C/EBP",0.268421052631579,0.265409285656995,19,0.542265412308368
"Junb","S100a9_expr","HFD19","AP-1",-0.226315789473684,0.349934236536025,19,0.542265412308368
"Jun","S100a9_expr","HFD19","AP-1",0.221052631578947,0.361510274872245,19,0.542265412308368
"Fos","S100a9_expr","HFD19","AP-1",-0.194736842105263,0.422674070239025,19,0.543438090307318
"Cebpa","S100a9_expr","HFD19","C/EBP",-0.0754385964912281,0.759165306076258,19,0.764673352969403
"Fosb","S100a9_expr","HFD19","AP-1",-0.0736842105263158,0.764673352969403,19,0.764673352969403
"Cebpb","S100A8hi_macrophage","all34","C/EBP",-0.823376623376623,2.76526395345175e-07,34,2.48873755810657e-06
"Cebpa","S100A8hi_macrophage","all34","C/EBP",-0.663865546218487,2.96348706182857e-05,34,0.000133356917782285
"Cebpd","S100A8hi_macrophage","all34","C/EBP",-0.625057295645531,0.000109406044673882,34,0.000328218134021645
"Junb","S100A8hi_macrophage","all34","AP-1",-0.489686783804431,0.00365525775264757,34,0.00822432994345703
"Fos","S100A8hi_macrophage","all34","AP-1",-0.385179526355997,0.0251793215823998,34,0.0453227788483196
"Jund","S100A8hi_macrophage","all34","AP-1",-0.265087853323147,0.129581184627087,34,0.19437177694063
"Jun","S100A8hi_macrophage","all34","AP-1",-0.232696715049656,0.184761632741378,34,0.237550670667486
"Fosb","S100A8hi_macrophage","all34","AP-1",-0.0375888151452283,0.832844540534327,34,0.867093555230769
"Atf3","S100A8hi_macrophage","all34","AP-1",-0.0297937356760886,0.867093555230769,34,0.867093555230769
"Jund","S100a9_expr","all34","AP-1",0.436038534813385,0.00994099174334976,34,0.0894689256901479
"Atf3","S100a9_expr","all34","AP-1",0.35900964538263,0.0370555685113396,34,0.166750058301028
"Fosb","S100a9_expr","all34","AP-1",0.229575856243969,0.19151843843202,34,0.574555315296061
"Junb","S100a9_expr","all34","AP-1",-0.182332272005737,0.302031237537025,34,0.597505323960536
"Cebpb","S100a9_expr","all34","C/EBP",-0.155738964940357,0.379117585593421,34,0.597505323960536
"Jun","S100a9_expr","all34","AP-1",0.149625561017282,0.398336882640357,34,0.597505323960536
"Cebpa","S100a9_expr","all34","C/EBP",-0.110499775909596,0.533857430610799,34,0.66439186187206
"Fos","S100a9_expr","all34","AP-1",-0.0814611072749858,0.646958621809415,34,0.66439186187206
"Cebpd","S100a9_expr","all34","C/EBP",0.0771817245288327,0.66439186187206,34,0.66439186187206
